Star Name,Description,Location,History
Pictor,Painter's Easel,"The constellation Pictor, the painter's easel, is located in the southern hemisphere of the sky. It is completely visible in latitudes south of 26 degrees north from November through January. It is best seen at northern latitudes in February. It is a small constellation covering an area of 247 square degrees. It ranks 59th in size among the 88 constellations in the night sky. It is bordered by Columba to the north, Puppis and Carina to the east, Caelum to the northwest, Dorado to the southwest and Volans to the south.","Pictor is not associated with any mythology. It is one of 14 southern constellations named by Abbé Nicolas Louis de Lacaille during his trip to the Cape of Good Hope in southern Africa. Its name means “painter” in Latin, but it was actually named for a painter’s easel. Lacaille originally named the constellation ""Le Chevalet et la Palette"" in 1756, which means ""The Painter's Easel and Palette"". Its shape resembles that of a painting easel. He changed the name to Equuleus Pictoris on his planishpere in 1763. The name was later shortened to Pictor by the English astronomer Francis Baily based on a suggestion by John Herschel."
Pisces,Fishes,"The constellation Pisces, the fishes, is visible in the sky between October and December in the northern hemisphere. It Can be seen at latitudes between 90 degrees and -65 degrees. It is a large constellation, occupying 889 square degrees. This makes it the 14th largest constellation in the night sky. It lies between Aquarius to the west and Aries to the east and is just south of Pegasus. Pisces is one of the thirteen constellations of the zodiac. This means that it lies along the path the Sun travels in the sky during the year. The March equinox is currently located in Pisces. However, due to procession of the earth's axis, it is slowly drifting towards Aquarius.","The word Pisces is the Latin plural for “fish”. It is one of the constellations first cataloged by the Greek astronomer Ptolemy in the second century. The constellation is represented as a pair of fish facing in opposite directions, connected at the tail by a common star. In ancient times, the two fish were shown swimming together. In Greek mythology, the two fish represent the goddess Aphrodite and her son Eros. It was believed that they transformed into fish in order to escape the monster Typhon. Typhon was sent by Gaia, the Earth mother, to defeat the gods. Pan saw the monster coming and turned himself into a goat-fish and jumped into the river Euphrates to escape. He became the constellation Capricornus. Aphrodite and Eros then jumped into the river to escape the monster and were then transformed into the two fish."
Piscis Austrinus,Southern Fish,"The constellation Piscis Austrinus, the southern fish, is located in the southern hemisphere of the sky. It is visible at latitudes south of 53 degrees north from July through September. It is a small constellation, occupying only 245 square degrees of the sky. This ranks it 60th in size among the 88 constellations in the night sky. It is bordered by Capricornus to the northwest, Microscopium to the southwest, Grus to the south, Sculptor to the east, Aquarius to the north.","Piscis Austrinus is one of the 48 constellations cataloged in the second century by the Greek astronomer Ptolemy. Its name means “southern fish.” It is sometimes also referred to Piscis Austalis. Until the 20th century it was known as Piscis Notius. In the 16th century, the Dutch astronomer Petrus Plancius removed some of the stars to form the constellation Grus. Piscis Austrinus has been seen as a constellation since ancient Babylonian times. The Babylonians knew it simply as the Fish. In Greek mythology, it was known as the Great Fish and was portrayed as drinking the water that was being poured out by Aquarius. The two fish in the constellation Pisces were said to be offspring of the Great Fish. In Egyptian mythology, the fish saved the life of the goddess Isis. She showed her gratitude by placing the fish in the heavens as a constellation."
Puppis,Stern,"The constellation Puppis, the stern, is located in the southern hemisphere of the sky. It can be seen from January through May and is visible at latitudes between 40 degrees and -90 degrees. It is a medium-sized constellation with a total area of 673 degrees. It ranks 20th in size among the 88 constellations in the night sky. It is bordered by the constellations Carina, Canis Major, Columba, Hydra, Monoceros, Pictor, Pyxis and Vela.","Puppis was once part of a larger constellation called Argo Navis. This large constellation represented the ship that Jason and the Argonauts sailed on their voyage to find the legendary golden fleece. Argo Navis was one of the 48 constellations first listed by the Greek astronomer Ptolemy in the second century. This constellation was later divided by the French astronomer Nicolas Louis de Lacaille into three smaller parts. Puppis became the Stern, Carina the Keel, and Vela the Sails. These three smaller constellations were added to the official list of modern constellations in the early 20th century by the International Astronomical Union (IAU)."
Pyxis,Compass,"The constellation Pyxis, the compass, is located in the southern hemisphere of the sky. It is completely visible at latitudes south of 530 degrees from January through March. It is a small constellation covering 221 square degrees of the sky. It ranks 65th in size among the 88 constellations in the night sky. It is bordered by Hydra to the north, Puppis to the west, Vela to the south, and Antlia to the east.","Pyxis is one of 14 southern constellations created by the French astronomer Abbé Nicolas Louis de Lacaille in the 1752 during his trip to the Cape of Good Hope to study the southern sky. He named it la Boussole. It was later Latinized to Pixis Nautica and eventually shortened to Pyxis. It represents a magnetic compass used by navigators. It should not be confused with Circinus, which represents a draftsman’s drawing compass. It lies near the three constellations that were once part of a larger group known as Argo Navis, the ship of Jason and the Argonauts. The four main stars of Pyxis were once part of the ship’s mast. In 1844 English astronomer John Herschel suggested renaming Pyxis as Malus, the Mast, but the new name was never accepted."
Reticulum,Reticle,"The constellation Reticulum, the reticle, is located in the southern hemisphere of the sky. It is completely visible at latitudes south of 23 degrees north from October through December. It is best seen in northern latitudes in January. It is a very small constellation filling an area of only 114 square degrees. This makes it the seventh smallest constellation in the night sky. It is bordered by the constellations Dorado, Horologium and Hydrus.",There are no myths associated with Reticulum. It is one of 14 southern constellations named by the French astronomer Abbé Nicolas Louis de Lacaille in the 18th century. Its name means “the reticle” in Latin. It represents a small net of corsshairs on the eyepiece of a telescope that is used to measure the positions of stars. The constellation was originally introduced by the German astronomer Isaac Habrecht II on a celestial globe he published in 1621. He originally named the constellation Rhombus. Lacaille renamed it to le Réticule Rhomboide to commemorate the reticle in his telescope eyepiece. The name was later Latinized to Reticulum when Lacaille published his star catalog.
Sagitta,Arrow,"The constellation Sagitta, the arrow, can be seen in late summer in the northern hemisphere. It is visible between latitudes 90 degrees and -70 degrees. It is an extremely small constellation, filling only 80 square degrees of the sky. This makes it the third smallest constellation in the night sky. It is bordered by Vulpecula to the north, Hercules to the west, Aquila to the south, and Delphinus to the east.","Sagitta is one of the 48 constellations first cataloged by the Greek astronomer Ptolemy in the second century. Its name is Latin for “arrow”. There are a number of Greek myths associated with this constellation. In one, it represented the arrow Hercules used to kill the eagle that Zeus sent to chew on Prometheus’ liver. In this version, the eagle is represented by the constellation Aquila. In another myth, it may represent the arrow that Apollo used to kill the Cyclopes. In still another myth it represents the arrow of Eros which made Zeus fall in love with Ganymede. In this version, the eagle guards the arrow in the sky."
Sagittarius,Archer,"The constellation Sagittarius, the archer, is located in the southern hemisphere of the sky. It can be seen in the summer in the northern hemisphere as far north as 55 degrees and in winter in the southern hemisphere. It is one of the largest southern constellations and is easy to recognizable due to an asterism, or grouping of stars, that form a teacup shape. It is a large constellation covering an area of 867 square degrees of the sky. This makes it the 15th largest constellation in the night sky. It lies between Scorpius and Ophiuchus to the west and Capricornus to the east. It is also one of the thirteen constellations of the zodiac. This means it lies along the path the Sun travels in the sky during the year.","Sagittarius is one of the 48 constellations first cataloged by the Greek astronomer Ptolemy in the second century. It is usually depicted as a centaur pulling back on a bow. This ancient constellation is believed to have originated with the Babylonians. He was their god of War, and he stands with his bow aimed at the heart of Scorpius, the scorpion. In Greek mythology, Sagittarius represents a half horse and half man creature known as a centaur. There are many conflicting myths to explain the origin of this centaur so his exact identity is not known. Some legends say that he was placed in the heavens to guide the Argonauts in their travels."
Scorpius,Scorpion,"The constellation Scorpius, the scorpion, is located in the southern hemisphere of the sky. It can be seen in summer from the northern hemisphere, but is low in the sky and is best seen from the southern hemisphere or southern United States. It is visible at latitudes between 40 degrees and -90 degrees. It lies between Libra to the west and Sagittarius to the east. It is a medium-sized constellation that occupies 497 square degrees of the sky. It ranks 33rd in size among the 88 constellations of the night sky. Scorpius is easy to find due to its distinct ""J"" shape, also described as a fishhook. It is one of the thirteen constellations of the zodiac. This means it lies along the path the Sun travels in the sky during the year.","Scorpius is one of the 48 constellations identified by the Greek astronomer Ptolemy in the second century. It is an ancient constellation that pre-dated the Greeks. The Sumerians called it GIT-TAB, which means “the scorpion.” In Greek mythology, it represented the scorpion sent by a jealous Artemis to slay Orion. It was this scorpion's sting that caused Orion's death. In another version, it was the Earth that sent the scorpion to kill Orion after he bragged about being able to kill any wild beast. The scorpion still chases Orion across the heavens, but will never catch him because it rises in the East after Orion has set in the West."
Sculptor,Sculptor,"The constellation Sculptor, the sculptor's workshop, is located in the southern hemisphere of the sky. It is completely visible at latitudes south of 50 degrees from August through October. It is a medium-sized constellation, covering 475 square degrees of the sky. This ranks it 36 in size among the 88 constellations in the night sky. It is bordered by Aquarius and Cetus to the north, Fornax to the east, Phoenix to the south, Grus to the southwest, and Piscis Austrinus to the west.","There is no mythology associated with Sculptor. It is one of the southern constellations named by Nicolas Louis de Lacaille during his stay at the Cape of Good Hope between 1751 and 1752. Lacaille originally named it Apparatus Sculptoris, which means “the sculptor’s studio.” It was depicted as a carved head lying on a table with a sculptor’s mallet and chisels. The constellation’s name was later shortened to Sculptor at the suggestion of astronomer John Herschel."
Scutum,Shield,"The constellation Scutum, the shield, is located in the southern hemisphere of the sky. It is visible at latitudes south of 74 degrees from June through August. It is a small constellation, occupying only 109 square degrees. This makes It the 5th smallest constellation in the night sky. It is bordered by the constellations Aquila, Sagittarius and Serpens Cauda.","There are no myths associated with Scutum. The name means “shield” in Latin. It was introduced by Polish astronomer Johannes Hevelius in 1690. It was originally named Scutum Sobiescianum, or Shield of Sobieski, and was drawn as the coat of arms of John Sobieskii, king of Poland, in honor of his victory against the Turks in 1683. As the Turkish army marched on Vienna in 1683, they were turned back at the gates of the city. Seven years later, Scutum was created in honor of the king. The constellation first appeared in the scientific journal Acta Eruditorum in August 1684. The name was eventually shortened to Scutum, the shield."
Serpens,Serpent,"The constellation Serpens, the serpent, is best seen in the summer from the northern hemisphere. It is visible at latitudes between 80 degrees and -80 degrees. It is a mid-sized constellation with a total area of 637 square degrees. This ranks it 23rd in size among the 88 constellations in the night sky. Although this is officially one constellation, it is actually split into two distinct, disjoint areas of the sky. It is divided by the constellation Ophiuchus, the Serpent Bearer, who holds the serpent in his hands. These two areas are known as Serpens Caput (the head of the serpent) and Serpens Cauda (the tail of the serpent). This is the only constellation that is split in this fashion.","Serpens is one of the 48 constellations first listed by the Greek astronomer Ptolemy in the second century. Its name means “the serpent” in Latin. It is an ancient constellation that dates back to Babylonian times. It was one of two snake constellations at the time. In Greek mythology, Serpens represents a snake held by the healer Asclepius, which is represented by the constellation Ophiuchus. Asclepius was the son of the god Apollo and was said to be able to bring people back to life. He once killed a snake and saw it brought back to life by an herb that was placed on it by another snake."
Sextans,Sextant,"The constellation Sextans, the sextant, is best seen from the southern hemisphere from January through May and is completely visible at latitudes between 80 degrees and -90 degrees. It is a mid-sized constellation covering an area of 314 square degrees. It ranks 47th in size among the 88 constellations in the night sky. It is located near the celestial equator and is bordered by the constellations Crater, Hydra and Leo. It is a dim constellation that can be challenging to find even under ideal conditions.","There are no myths associated with Sextans. It was introduced by the Polish astronomer Johannes Hevelius in 1687. Its name is Latin for the astronomical sextant, an instrument made by Hevelius to help measure the positions of the stars. The constellation was originally named Sextans Uraniae after the instrument he used until it was destroyed by a fire in his observatory in 1679. Hevelius preferred the sextant instead of the telescope when making his observations of the stars."
Taurus,Bull,"The constellation Taurus, the bull, can be seen during the winter and the early spring in the northern hemisphere. It is visible at latitudes between 90 degrees and -65 degrees. It is a large constellation covering an area of 797 square degrees. It ranks 17th in size among the 88 constellations in the night sky. It is bordered by Aries to the west, Gemini to the east, Perseus and Auriga to the north, Orion to the southeast, Eridanus to the south, and Cetus to the southwest. It is one of the thirteen constellations of the zodiac. This means it lies along the path the Sun travels in the sky during the year. Taurus is one of the more recognizable constellations in the sky. The V-shape of the horns in very easy to find and can be seen even in urban areas with light pollution.","Taurus is one of the 48 constellations cataloged by the Greek astronomer Ptolemy in the second century. Its name means “bull” in Latin. It is an ancient constellation dating back to the Bronze Age, where it marked the location of the Sun during the spring equinox. Its importance to agriculture influenced the mythology of many ancient civilizations including Sumer, Assyria, Babylon, Egypt, Greece, and Rome. Depictions of the constellation have been found in cave paintings dating back to 15,000 BC. In Greek mythology it is believed to represent the story of Europa and the bull. The story tells of Europa, daughter of Agenor, who was King of Phoenica. One day Europa saw a majestic white bull grazing near her father's herd. The bull was actually Zeus in disguise. After allowing Europa to climb on its back, the bull whisked her off to Crete where he made her his mistress."
Telescopium,Telescope,"The constellation Telescopium, the telescope, is located in the southern hemisphere of the sky. It is completely visible in latitudes south of 33 degrees from June through August. It is a small constellation, covering 252 square degrees of the sky. It ranks 57th in size among the 88 constellation in the night sky. It is bordered by Sagittarius and Corona Australis to the north, Ara to the west, Pavo to the south, and Indus to the east, cornering on Microscopium to the northeast.","There is no mythology associated with Telescopium. It is one of the 14 southern constellations named by Abbé Nicolas Louis de Lacaille in the 18th century. It was named to honor the invention of one of the most important pieces of equipment in astronomy, the telescope. Lacaille mapped the constellation during his trip to the Cape of Good Hope in South Africa in 1751-1752. It represents an aerial telescope, a type of refracting telescope that was popular at the time. This constellation was originally much larger but was later reduced in size by astronomers Francis Baily and Benjamin Gould."
Triangulum,Triangle,"The constellation Triangulum, the triangle, is completely visible at latitudes north of -53 degrees from March through May. It is a small constellation, occupying only 132 square degrees. This constellation ranks 78th in size among the 88 constellations in the night sky. It is bordered by Andromeda to the north and west, Pisces to the west and south, Aries to the south, and Perseus to the east.","Traingulum is one of the original 48 constellations first drawn by second century Greek astronomer Ptolemy. The name Triangulum is Latin for “triangle.” There is no mythology associated with this constellation. All of its historic names have been derived from its shape. In ancient times, its distinctive shape of three stars was called Deltoton because it resembled the Greek letter delta. To the ancient Egyptians, it represented the delta of the river Nile. The ancient Romans called it Sicilia because it reminded them of the island of Sicily."
Triangulum Australe,Southern Triangle,"The constellation Triangulum Australe, the southern triangle, is located in the southern hemisphere of the sky. It is completely visible at latitudes south of 20 degrees from April through June. It is a small constellation filling only 110 square degrees of the sky. This makes it the sixth smallest constellation in the night sky. The three bright stars that form the triangle have been called the ""Three Patriarchs,” Abraham, Isaac and Jacob. They are so recognizable that they can be used to locate other neighboring constellations such as Apus in the south, Norma in the north, Circinus and Centaurus in the west, and Ara and Pavo to the east.",There is no mythology associated with Triangulum Australe. It is the smallest of the12 constellations named by the Dutch astronomer Petrus Plancius to fill in the blanks in the southern sky. It was first depicted in Johan Bayer’s star atlas in 1603. It was originally called Triangulum Antarticus. The French astronomer Nicolas Louis de Lacaille called it le Triangle Austral ou le Niveau on his planisphere in 1756. It was described as a surveyor’s level. It was one of several constellations that represented surveyor’s tools. It was later described by astronomer Johann Bode as a level and given the name le Triangle Austral ou le Niveau.
Tucana,Toucan,"The constellation Tucana, the toucan, is located in the southern hemisphere of the sky. It is visible at latitudes south of 15 degrees between August and October. It is completely below the horizon for anyone north of 30 degrees. It is a small constellation, occupying an area of 295 square degrees. This ranks it 48th in size among the 88 constellations in the night sky. It is bordered by Hydrus to the east, Grus and Phoenix to the north, Indus to the west and Octans to the south. It is one of four constellations known as the “Southern Birds,” along with Grus, Pavo, and Phoenix.","There is no mythology surrounding the constellation Tucana. It was one of twelve constellations introduced by Dutch astronomer Petrus Plancius based on the observations of Dutch navigators. It first appeared in Johann Bayer’s star atlas in 1603, where it was depicted as a toucan. Another astronomer, Frederick de Houtman, included it in his star catalog the same year. However, Houtman depicted it as a hornbill, a bird native to the East Indies. Eventually, the toucan became the bird of choice."
Ursa Major,Great Bear,"The constellation Ursa Major, the great bear, is visible in the northern hemisphere all year long. It is a large constellation occupying an area of 1,280 square degrees. This makes it the third largest constellation in the night sky. It is one of the best-known constellations and is famous for containing an asterism known as the Big Dipper. This grouping of bright stars is one of the most recognizable shapes in the sky and can easily be found even in light polluted cities. The shape of the bear can clearly be seen under dark skies, with the handle of the dipper making up the bear's tail. During the Civil War, the Big Dipper was used by the Underground Railroad. Slaves escaping from the South were told to follow the ""drinking gourd"" to a better life. This is because the Big Dipper is circumpolar, meaning it can be seen in the North all night long. The message of the drinking gourd was passed along in the form of song, since most of the slaves were unable to read or write.","Ursa Major is one of the 48 constellations cataloged by the Greek astronomer Ptolemy in the second century. Its name means “the great bear” in Latin. It is one of the oldest constellations in the night sky, dating back as far as 13,000 years. It is mentioned in the Bible and in the works of the Greek author Homer. It is associated with several Greek and Roman myths. In Greek mythology, it is often associated with Callisto, a nymph who was turned into a bear by Hera, the jealous wife of Zeus. It has taken different forms in different cultures including an ox, camel, shark, skunk, sickle, bushel, and canoe. In Hindu legend the brightest stars represent the Seven Sages and the constellation is known as Saptarshi. The Chinese believed the seven bright stars represented Tseih Sing, the Government, or Pih Tow, the Northern Measure. In some Native American stories, the three stars in the handle of the dipper represented three warriors chasing a great bear. In South Korea, the constellation is referred to as the Seven Stars of the North."
Ursa Minor,Lesser Bear,"The constellation Ursa Minor, the little bear, is visible in the northern hemisphere all year long. It is a circumpolar constellation, which means it is visible all night as it rotates around the north celestial pole. It is a small constellation covering an area of 256 square degrees. It ranks 56th in size among the 88 constellations in the night sky. It is famous for a group of stars known as the Little Dipper and for Polaris, the North Star, which is located at the tip of the dipper's handle. Polaris is called the North Star because it is the closest star to the north celestial pole. This means that as the Earth rotates, Polaris appears to remain stationary in the sky while all of the other stars rotate around it. Because the Earth wobbles slightly as it rotates on its axis, Polaris will not always be the North Star. In about 14,000 years the north celestial pole will point away from Polaris and toward Vega. This process is known as procession. Polaris is an important star for navigation, allowing mariners to easily identify their latitude.","Ursa Minor is one of the 48 constellations identified by the Greek astronomer Ptolemy in the second century. Its name means “lesser bear” in Latin. It is an ancient constellation with roots in many cultures. To the ancient Babylonians it was known as the Wagon of Heaven. In Greek mythology, this constellation was associated with two different myths. In one, it represented Ida and her sister Adrasteia, the nymphs who took care of Zeus on the island of Crete when he was small. Zeus rewarded them by placing them in the heavens. In another story, it represented Arcas, who was the son of Zeus and the nymph Callisto. Arcas and his mother were transformed into bears and placed in the night sky."
Vela,Sails,"The constellation Vela, the sails, is located in the southern hemisphere of the sky. It is completely visible at latitudes south of 30 degrees from January through March. It is a mid-sized constellation covering an area of 500 square degrees. It ranks 32nd in size among the 88 constellations in the night sky. It is bordered by Antlia and Pyxis to the north, Puppis to the northwest, Carina to the south and southwest, and Centaurus to the east.","Vela means “the sails” in Latin. It was once part of a larger constellation known as Argo Navis. This large constellation represented the great ship that Jason and the Argonauts sailed during their voyage to find the golden fleece. Argo Navis was one of the 48 constellations first listed by the Greek astronomer Ptolemy in the second century. This constellation was later divided by the French astronomer Nicolas Louis de Lacaille into three smaller parts. Vela became the Sails, Carina the Keel, and Puppis the Stern. These three smaller constellations were added to the official list of modern constellations in the early 20th century by the International Astronomical Union (IAU)."
Virgo,Maiden,"The constellation Virgo, the maiden, can be seen in spring and summer in the northern hemisphere and in autumn and winter in the southern hemisphere. It is a very large constellation covering a total area of 1,294 square degrees. This makes it the second largest constellation in the night sky. It is located between Leo to the west and Libra to the east and can be easily found through its brightest star, Spica. It is one of the thirteen constellations of the zodiac. This means it lies along the path the Sun travels in the sky during the year. The September equinox is currently located in Virgo. This means that the Sun will be in the constellation Virgo on that date. Since the Sun passes through Virgo in mid-September, this makes it the constellation that announces the harvest.","Virgo is one of the 48 constellations first cataloged by the Greek astronomer Ptolemy in the second century. Its name means “virgin” in Latin. It is an ancient constellation. The Babylonians knew it as “The Furrow”, representing the goddess Shala’s ear of grain. In Roman times she was represented by the goddess Ceres, who was the mother of Prosperina. Her festival was in the second week of April, the same time that the constellation appears in the spring skies. She was also sometimes identified as the virgin goddess Astraea, holding the scales of justice represented by the constellation Libra. Virgo is usually depicted on charts as a maiden with angelic wings holding two ears of wheat, one of which is marked by the bright star Spica."
Volans,Flying Fish,"The constellation Volans, the flying fish, is located in the southern hemisphere of the sky. It is completely visible at latitudes south of 15 degrees from December through February. It is a small constellation that occupies an area of only 141 square degrees. It ranks 76th in size among the 88 constellations in the night sky.","There are no myths associated with Volans. It is one of 12 constellations named by the Dutch astronomer Petrus Plancius based on observations by Dutch navigators. Plancius originally named it Vliegendenvis and included it on his celestial globe in 1598. The German astronomer Johann Bayer included it in his star atlas in 1603. He called it Piscis Volans, the flying fish. The name was later shortened to Volans. It represents a type of fish that can jump out of the water and glide through the air on specially enhanced fins that resemble wings. It is often depicted on charts as being chased by the dolphin fish in the constellation Dorado."
Vulpecula,Fox,"The constellation Vulpecula, the fox, is located in the northern hemisphere of the sky. It is visible between latitudes 90 degrees and -55 degrees. It is a small constellation that occupies 268 square degrees of the sky. This ranks it 55th in size among the 88 constellations in the night sky. It is bordered by Cygnus, Delphinus, Hercules, Lyra, Pegasus and Sagitta. It can easily be found in the middle of the Summer Triangle, a triangular asterism formed by the bright stars Deneb in Cygnus, Vega in Lyra, and Altair in Aquila.","There are no myths associated with Vulpecula. Its name means “little fox” in Latin. It was introduced by the Polish astronomer Johannes Hevelius in the late 17th century. It was originally named Vulpecula Cum Ansere, ""the little fox with the goose,"" and Vulpecula et Anser, ""the little fox and the goose,"" and was illustrated with a goose in the jaws of a fox. The stars were later separated into two constellations, Anser and Vulpecula, and then later recombined under the name Vulpecula. Today, the goose is only remembered by the name of the star Anser."
